month,year,amount,dt_code,cat_code
Feb,2010,-5.9,MPCSM,4541
Mar,2010,17.4,MPCSM,4541
Apr,2010,-5.8,MPCSM,4541
May,2010,-1.8,MPCSM,4541
Jun,2010,5.0,MPCSM,4541
Jul,2010,-5.5,MPCSM,4541
Aug,2010,8.7,MPCSM,4541
Sep,2010,-1.3,MPCSM,4541
Oct,2010,0.3,MPCSM,4541
Nov,2010,18.2,MPCSM,4541
Dec,2010,30.5,MPCSM,4541
Jan,2011,-32.6,MPCSM,4541
Feb,2011,-7.0,MPCSM,4541
Mar,2011,15.2,MPCSM,4541
Apr,2011,-7.8,MPCSM,4541
May,2011,5.4,MPCSM,4541
Jun,2011,-0.1,MPCSM,4541
Jul,2011,-6.3,MPCSM,4541
Aug,2011,12.7,MPCSM,4541
Sep,2011,-4.0,MPCSM,4541
Oct,2011,2.7,MPCSM,4541
Nov,2011,21.4,MPCSM,4541
Dec,2011,26.3,MPCSM,4541
Jan,2012,-33.0,MPCSM,4541
Feb,2012,-2.2,MPCSM,4541
Mar,2012,7.2,MPCSM,4541
Apr,2012,-5.8,MPCSM,4541
May,2012,8.0,MPCSM,4541
Jun,2012,-5.1,MPCSM,4541
Jul,2012,-0.1,MPCSM,4541
Aug,2012,9.5,MPCSM,4541
Sep,2012,-7.0,MPCSM,4541
Oct,2012,8.0,MPCSM,4541
Nov,2012,19.2,MPCSM,4541
Dec,2012,21.6,MPCSM,4541
Jan,2013,-29.5,MPCSM,4541
Feb,2013,-10.1,MPCSM,4541
Mar,2013,8.0,MPCSM,4541
Apr,2013,0.4,MPCSM,4541
May,2013,2.4,MPCSM,4541
Jun,2013,-6.7,MPCSM,4541
Jul,2013,4.9,MPCSM,4541
Aug,2013,3.2,MPCSM,4541
Sep,2013,-3.5,MPCSM,4541
Oct,2013,5.1,MPCSM,4541
Nov,2013,13.3,MPCSM,4541
Dec,2013,34.5,MPCSM,4541
Jan,2014,-36.4,MPCSM,4541
Feb,2014,-6.2,MPCSM,4541
Mar,2014,13.2,MPCSM,4541
Apr,2014,0.1,MPCSM,4541
May,2014,1.7,MPCSM,4541
Jun,2014,-0.3,MPCSM,4541
Jul,2014,2.3,MPCSM,4541
Aug,2014,0.2,MPCSM,4541
Sep,2014,1.7,MPCSM,4541
Oct,2014,5.1,MPCSM,4541
Nov,2014,11.2,MPCSM,4541
Dec,2014,38.5,MPCSM,4541
Jan,2015,-37.3,MPCSM,4541
Feb,2015,-5.6,MPCSM,4541
Mar,2015,13.9,MPCSM,4541
Apr,2015,-1.6,MPCSM,4541
May,2015,-0.9,MPCSM,4541
Jun,2015,1.7,MPCSM,4541
Jul,2015,2.3,MPCSM,4541
Aug,2015,-1.1,MPCSM,4541
Sep,2015,1.7,MPCSM,4541
Oct,2015,2.9,MPCSM,4541
Nov,2015,16.5,MPCSM,4541
Dec,2015,34.0,MPCSM,4541
Jan,2016,-38.1,MPCSM,4541
Feb,2016,0.7,MPCSM,4541
Mar,2016,11.1,MPCSM,4541
Apr,2016,-4.1,MPCSM,4541
May,2016,4.3,MPCSM,4541
Jun,2016,-0.2,MPCSM,4541
Jul,2016,-3.1,MPCSM,4541
Aug,2016,7.4,MPCSM,4541
Sep,2016,-3.2,MPCSM,4541
Oct,2016,1.4,MPCSM,4541
Nov,2016,23.1,MPCSM,4541
Dec,2016,26.4,MPCSM,4541
Jan,2017,-34.9,MPCSM,4541
Feb,2017,-5.5,MPCSM,4541
Mar,2017,16.3,MPCSM,4541
Apr,2017,-6.1,MPCSM,4541
May,2017,8.9,MPCSM,4541
Jun,2017,-2.8,MPCSM,4541
Jul,2017,-2.0,MPCSM,4541
Aug,2017,6.0,MPCSM,4541
Sep,2017,-6.2,MPCSM,4541
Oct,2017,5.2,MPCSM,4541
Nov,2017,24.7,MPCSM,4541
Dec,2017,21.4,MPCSM,4541
Jan,2018,-33.4,MPCSM,4541
Feb,2018,-5.7,MPCSM,4541
Mar,2018,13.5,MPCSM,4541
Apr,2018,-2.6,MPCSM,4541
May,2018,6.9,MPCSM,4541
Jun,2018,-6.0,MPCSM,4541
Jul,2018,4.2,MPCSM,4541
Aug,2018,2.8,MPCSM,4541
Sep,2018,-7.3,MPCSM,4541
Oct,2018,11.1,MPCSM,4541
Nov,2018,22.3,MPCSM,4541
Dec,2018,5.3,MPCSM,4541
Jan,2019,-23.2,MPCSM,4541
Feb,2019,-6.5,MPCSM,4541
Mar,2019,8.6,MPCSM,4541
Apr,2019,4.1,MPCSM,4541
May,2019,7.8,MPCSM,4541
Jun,2019,-6.7,MPCSM,4541
Jul,2019,7.1,MPCSM,4541
Aug,2019,-1.1,MPCSM,4541
Sep,2019,-5.6,MPCSM,4541
Oct,2019,10.3,MPCSM,4541
Nov,2019,10.7,MPCSM,4541
Dec,2019,27.1,MPCSM,4541
Jan,2020,-33.9,MPCSM,4541
Feb,2020,-4.2,MPCSM,4541
Mar,2020,15.9,MPCSM,4541
Apr,2020,11.8,MPCSM,4541
May,2020,8.6,MPCSM,4541
Jan,2010,230542,SM,44W72
Feb,2010,227215,SM,44W72
Mar,2010,255997,SM,44W72
Apr,2010,253668,SM,44W72
May,2010,261194,SM,44W72
Jun,2010,255696,SM,44W72
Jul,2010,255879,SM,44W72
Aug,2010,258012,SM,44W72
Sep,2010,247175,SM,44W72
Oct,2010,255343,SM,44W72
Nov,2010,269925,SM,44W72
Dec,2010,323060,SM,44W72
Jan,2011,239688,SM,44W72
Feb,2011,238070,SM,44W72
Mar,2011,267571,SM,44W72
Apr,2011,265380,SM,44W72
May,2011,274477,SM,44W72
Jun,2011,270985,SM,44W72
Jul,2011,267304,SM,44W72
Aug,2011,274994,SM,44W72
Sep,2011,262626,SM,44W72
Oct,2011,268454,SM,44W72
Nov,2011,284276,SM,44W72
Dec,2011,338082,SM,44W72
Jan,2012,251510,SM,44W72
Feb,2012,259854,SM,44W72
Mar,2012,284595,SM,44W72
Apr,2012,271794,SM,44W72
May,2012,289614,SM,44W72
Jun,2012,278538,SM,44W72
Jul,2012,274129,SM,44W72
Aug,2012,286999,SM,44W72
Sep,2012,267090,SM,44W72
Oct,2012,278116,SM,44W72
Nov,2012,296937,SM,44W72
Dec,2012,345301,SM,44W72
Jan,2013,264555,SM,44W72
Feb,2013,258853,SM,44W72
Mar,2013,290548,SM,44W72
Apr,2013,280488,SM,44W72
May,2013,301608,SM,44W72
Jun,2013,284021,SM,44W72
Jul,2013,286996,SM,44W72
Aug,2013,297246,SM,44W72
Sep,2013,275115,SM,44W72
Oct,2013,290901,SM,44W72
Nov,2013,306476,SM,44W72
Dec,2013,356049,SM,44W72
Jan,2014,270532,SM,44W72
Feb,2014,264896,SM,44W72
Mar,2014,296360,SM,44W72
Apr,2014,296696,SM,44W72
May,2014,316016,SM,44W72
Jun,2014,298553,SM,44W72
Jul,2014,302863,SM,44W72
Aug,2014,310070,SM,44W72
Sep,2014,292573,SM,44W72
Oct,2014,308686,SM,44W72
Nov,2014,319984,SM,44W72
Dec,2014,378786,SM,44W72
Jan,2015,287155,SM,44W72
Feb,2015,276968,SM,44W72
Mar,2015,312779,SM,44W72
Apr,2015,308895,SM,44W72
May,2015,326108,SM,44W72
Jun,2015,313374,SM,44W72
Jul,2015,318902,SM,44W72
Aug,2015,319072,SM,44W72
Sep,2015,305379,SM,44W72
Oct,2015,319173,SM,44W72
Nov,2015,329656,SM,44W72
Dec,2015,393887,SM,44W72
Jan,2016,291842,SM,44W72
Feb,2016,297780,SM,44W72
Mar,2016,328372,SM,44W72
Apr,2016,320379,SM,44W72
May,2016,334699,SM,44W72
Jun,2016,328497,SM,44W72
Jul,2016,324671,SM,44W72
Aug,2016,331140,SM,44W72
Sep,2016,317353,SM,44W72
Oct,2016,323516,SM,44W72
Nov,2016,343907,SM,44W72
Dec,2016,404624,SM,44W72
Jan,2017,303087,SM,44W72
Feb,2017,297024,SM,44W72
Mar,2017,340710,SM,44W72
Apr,2017,332207,SM,44W72
May,2017,351418,SM,44W72
Jun,2017,342359,SM,44W72
Jul,2017,336592,SM,44W72
Aug,2017,347799,SM,44W72
Sep,2017,331765,SM,44W72
Oct,2017,340493,SM,44W72
Nov,2017,366972,SM,44W72
Dec,2017,422554,SM,44W72
Jan,2018,320114,SM,44W72
Feb,2018,311922,SM,44W72
Mar,2018,360303,SM,44W72
Apr,2018,342216,SM,44W72
May,2018,375562,SM,44W72
Jun,2018,359463,SM,44W72
Jul,2018,358332,SM,44W72
Aug,2018,368481,SM,44W72
Sep,2018,340598,SM,44W72
Oct,2018,361549,SM,44W72
Nov,2018,385824,SM,44W72
Dec,2018,422013,SM,44W72
Jan,2019,335561,SM,44W72
Feb,2019,320150,SM,44W72
Mar,2019,364889,SM,44W72
Apr,2019,363113,SM,44W72
May,2019,389140,SM,44W72
Jun,2019,369707,SM,44W72
Jul,2019,377384,SM,44W72
Aug,2019,385545,SM,44W72
Sep,2019,354601,SM,44W72
Oct,2019,378136,SM,44W72
Nov,2019,393521,SM,44W72
Dec,2019,447714,SM,44W72
Jan,2020,349654,SM,44W72
Feb,2020,345746,SM,44W72
Mar,2020,365250,SM,44W72
Apr,2020,314130,SM,44W72
May,2020,367671,SM,44W72
Jan,2010,-25.4,MPCSM,44W72
Feb,2010,-1.4,MPCSM,44W72
Mar,2010,12.7,MPCSM,44W72
Apr,2010,-0.9,MPCSM,44W72
May,2010,3.0,MPCSM,44W72
Jun,2010,-2.1,MPCSM,44W72
Jul,2010,0.1,MPCSM,44W72
Aug,2010,0.8,MPCSM,44W72
Sep,2010,-4.2,MPCSM,44W72
Oct,2010,3.3,MPCSM,44W72
Nov,2010,5.7,MPCSM,44W72
Dec,2010,19.7,MPCSM,44W72
Jan,2011,-25.8,MPCSM,44W72
Feb,2011,-0.7,MPCSM,44W72
Mar,2011,12.4,MPCSM,44W72
Apr,2011,-0.8,MPCSM,44W72
May,2011,3.4,MPCSM,44W72
Jun,2011,-1.3,MPCSM,44W72
Jul,2011,-1.4,MPCSM,44W72
Aug,2011,2.9,MPCSM,44W72
Sep,2011,-4.5,MPCSM,44W72
Oct,2011,2.2,MPCSM,44W72
Nov,2011,5.9,MPCSM,44W72
Dec,2011,18.9,MPCSM,44W72
Jan,2012,-25.6,MPCSM,44W72
Feb,2012,3.3,MPCSM,44W72
Mar,2012,9.5,MPCSM,44W72
Apr,2012,-4.5,MPCSM,44W72
May,2012,6.6,MPCSM,44W72
Jun,2012,-3.8,MPCSM,44W72
Jul,2012,-1.6,MPCSM,44W72
Aug,2012,4.7,MPCSM,44W72
Sep,2012,-6.9,MPCSM,44W72
Oct,2012,4.1,MPCSM,44W72
Nov,2012,6.8,MPCSM,44W72
Dec,2012,16.3,MPCSM,44W72
Jan,2013,-23.4,MPCSM,44W72
Feb,2013,-2.2,MPCSM,44W72
Mar,2013,12.2,MPCSM,44W72
Apr,2013,-3.5,MPCSM,44W72
May,2013,7.5,MPCSM,44W72
Jun,2013,-5.8,MPCSM,44W72
Jul,2013,1.0,MPCSM,44W72
Aug,2013,3.6,MPCSM,44W72
Sep,2013,-7.4,MPCSM,44W72
Oct,2013,5.7,MPCSM,44W72
Nov,2013,5.4,MPCSM,44W72
Dec,2013,16.2,MPCSM,44W72
Jan,2014,-24.0,MPCSM,44W72
Feb,2014,-2.1,MPCSM,44W72
Mar,2014,11.9,MPCSM,44W72
Apr,2014,0.1,MPCSM,44W72
May,2014,6.5,MPCSM,44W72
Jun,2014,-5.5,MPCSM,44W72
Jul,2014,1.4,MPCSM,44W72
Aug,2014,2.4,MPCSM,44W72
Sep,2014,-5.6,MPCSM,44W72
Oct,2014,5.5,MPCSM,44W72
Nov,2014,3.7,MPCSM,44W72
Dec,2014,18.4,MPCSM,44W72
Jan,2015,-24.2,MPCSM,44W72
Feb,2015,-3.5,MPCSM,44W72
Mar,2015,12.9,MPCSM,44W72
Apr,2015,-1.2,MPCSM,44W72
May,2015,5.6,MPCSM,44W72
Jun,2015,-3.9,MPCSM,44W72
Jul,2015,1.8,MPCSM,44W72
Aug,2015,0.1,MPCSM,44W72
Sep,2015,-4.3,MPCSM,44W72
Oct,2015,4.5,MPCSM,44W72
Nov,2015,3.3,MPCSM,44W72
Dec,2015,19.5,MPCSM,44W72
Jan,2016,-25.9,MPCSM,44W72
Feb,2016,2.0,MPCSM,44W72
Mar,2016,10.3,MPCSM,44W72
Apr,2016,-2.4,MPCSM,44W72
May,2016,4.5,MPCSM,44W72
Jun,2016,-1.9,MPCSM,44W72
Jul,2016,-1.2,MPCSM,44W72
Aug,2016,2.0,MPCSM,44W72
Sep,2016,-4.2,MPCSM,44W72
Oct,2016,1.9,MPCSM,44W72
Nov,2016,6.3,MPCSM,44W72
Dec,2016,17.7,MPCSM,44W72
Jan,2017,-25.1,MPCSM,44W72
Feb,2017,-2.0,MPCSM,44W72
Mar,2017,14.7,MPCSM,44W72
Apr,2017,-2.5,MPCSM,44W72
May,2017,5.8,MPCSM,44W72
Jun,2017,-2.6,MPCSM,44W72
Jul,2017,-1.7,MPCSM,44W72
Aug,2017,3.3,MPCSM,44W72
Sep,2017,-4.6,MPCSM,44W72
Oct,2017,2.6,MPCSM,44W72
Nov,2017,7.8,MPCSM,44W72
Dec,2017,15.1,MPCSM,44W72
Jan,2018,-24.2,MPCSM,44W72
Feb,2018,-2.6,MPCSM,44W72
Mar,2018,15.5,MPCSM,44W72
Apr,2018,-5.0,MPCSM,44W72
May,2018,9.7,MPCSM,44W72
Jun,2018,-4.3,MPCSM,44W72
Jul,2018,-0.3,MPCSM,44W72
Aug,2018,2.8,MPCSM,44W72
Sep,2018,-7.6,MPCSM,44W72
Oct,2018,6.2,MPCSM,44W72
Nov,2018,6.7,MPCSM,44W72
Dec,2018,9.4,MPCSM,44W72
Jan,2019,-20.5,MPCSM,44W72
Feb,2019,-4.6,MPCSM,44W72
Mar,2019,14.0,MPCSM,44W72
Apr,2019,-0.5,MPCSM,44W72
May,2019,7.2,MPCSM,44W72
Jun,2019,-5.0,MPCSM,44W72
Jul,2019,2.1,MPCSM,44W72
Aug,2019,2.2,MPCSM,44W72
Sep,2019,-8.0,MPCSM,44W72
Oct,2019,6.6,MPCSM,44W72
Nov,2019,4.1,MPCSM,44W72
Dec,2019,13.8,MPCSM,44W72
Jan,2020,-21.9,MPCSM,44W72
Feb,2020,-1.1,MPCSM,44W72
Mar,2020,5.6,MPCSM,44W72
Apr,2020,-14.0,MPCSM,44W72
May,2020,17.0,MPCSM,44W72
