,data_type_code,time_slot_id,seasonally_adj,category_code,cell_value,time
116,MPCSM,721,no,4422,-40.8,2010-01
117,SM,721,no,4422,2641,2010-01
118,E_SM,721,no,4422,2.8,2010-01
119,E_MPCSM,721,no,4422,0.6,2010-01
120,E_SM,721,yes,4422,2.8,2010-01
121,E_MPCSM,721,yes,4422,0.6,2010-01
122,MPCSM,721,no,44221,-17.9,2010-01
123,SM,721,no,44221,993,2010-01
124,E_SM,721,no,44221,5.7,2010-01
125,E_MPCSM,721,no,44221,2.3,2010-01
126,E_SM,721,yes,44221,5.7,2010-01
127,E_MPCSM,721,yes,44221,2.3,2010-01
128,SM,721,no,442299,1563,2010-01
129,MPCSM,721,no,442299,-50.5,2010-01
130,E_SM,721,no,442299,2.9,2010-01
131,E_MPCSM,721,no,442299,0.5,2010-01
132,E_SM,721,yes,442299,2.9,2010-01
133,E_MPCSM,721,yes,442299,0.5,2010-01
134,MPCSM,721,no,4423X,-34.2,2010-01
135,IM,721,no,4423X,25876,2010-01
136,IR,721,no,4423X,1.85,2010-01
137,SM,721,no,4423X,13963,2010-01
138,MPCIM,721,no,4423X,-2.0,2010-01
139,E_SM,721,no,4423X,1.5,2010-01
140,E_IR,721,no,4423X,0.02,2010-01
141,E_MPCIM,721,no,4423X,0.2,2010-01
142,E_MPCSM,721,no,4423X,0.3,2010-01
143,E_IM,721,no,4423X,1.9,2010-01
144,IM,721,yes,4423X,26485,2010-01
145,IR,721,yes,4423X,1.74,2010-01
146,SM,721,yes,4423X,15243,2010-01
147,MPCSM,721,yes,4423X,1.0,2010-01
148,MPCIM,721,yes,4423X,0.1,2010-01
149,E_SM,721,yes,4423X,1.5,2010-01
150,E_IR,721,yes,4423X,0.02,2010-01
151,E_MPCIM,721,yes,4423X,0.2,2010-01
152,E_MPCSM,721,yes,4423X,0.3,2010-01
153,E_IM,721,yes,4423X,1.9,2010-01
154,SM,721,no,443,7639,2010-01
155,MPCSM,721,no,443,-40.4,2010-01
156,E_SM,721,no,443,1.5,2010-01
157,E_MPCSM,721,no,443,0.2,2010-01
158,SM,721,yes,443,8232,2010-01
159,MPCSM,721,yes,443,2.0,2010-01
160,E_SM,721,yes,443,1.5,2010-01
161,E_MPCSM,721,yes,443,0.2,2010-01
162,MPCSM,721,no,44311,-41.2,2010-01
163,SM,721,no,44311,5606,2010-01
164,E_SM,721,no,44311,1.7,2010-01
165,E_MPCSM,721,no,44311,0.2,2010-01
166,E_SM,721,yes,44311,1.7,2010-01
167,E_MPCSM,721,yes,44311,0.2,2010-01
168,SM,721,no,443111,1112,2010-01
169,MPCSM,721,no,443111,-25.3,2010-01
170,E_SM,721,no,443111,3.2,2010-01
171,E_MPCSM,721,no,443111,0.9,2010-01
172,E_SM,721,yes,443111,3.2,2010-01
173,E_MPCSM,721,yes,443111,0.9,2010-01
174,MPCSM,721,no,443112,-44.1,2010-01
175,SM,721,no,443112,4494,2010-01
176,E_SM,721,no,443112,2.4,2010-01
177,E_MPCSM,721,no,443112,0.3,2010-01
178,E_SM,721,yes,443112,2.4,2010-01
179,E_MPCSM,721,yes,443112,0.3,2010-01
180,SM,721,no,44312,1625,2010-01
181,MPCSM,721,no,44312,-37.9,2010-01
182,E_SM,721,no,44312,3.9,2010-01
183,E_MPCSM,721,no,44312,0.9,2010-01
184,SM,721,yes,44312,1764,2010-01
185,MPCSM,721,yes,44312,5.3,2010-01
186,E_SM,721,yes,44312,3.9,2010-01
187,E_MPCSM,721,yes,44312,0.9,2010-01
188,SM,721,no,443141,1112,2010-01
189,MPCSM,721,no,443141,-25.3,2010-01
190,E_SM,721,no,443141,3.2,2010-01
191,E_MPCSM,721,no,443141,0.9,2010-01
192,E_SM,721,yes,443141,3.2,2010-01
193,E_MPCSM,721,yes,443141,0.9,2010-01
194,SM,721,no,443142,6527,2010-01
195,MPCSM,721,no,443142,-42.4,2010-01
196,MPCSM,721,no,444,-20.0,2010-01
197,MPCIM,721,no,444,1.8,2010-01
198,SM,721,no,444,15348,2010-01
199,IM,721,no,444,41336,2010-01
200,IR,721,no,444,2.69,2010-01
201,E_SM,721,no,444,2.2,2010-01
202,E_IR,721,no,444,0.03,2010-01
203,E_MPCIM,721,no,444,0.2,2010-01
204,E_MPCSM,721,no,444,0.9,2010-01
205,E_IM,721,no,444,2.5,2010-01
206,IR,721,yes,444,2.07,2010-01
207,IM,721,yes,444,42527,2010-01
208,SM,721,yes,444,20566,2010-01
209,MPCIM,721,yes,444,-0.3,2010-01
210,MPCSM,721,yes,444,-1.4,2010-01
211,E_SM,721,yes,444,2.2,2010-01
212,E_IR,721,yes,444,0.03,2010-01
213,E_MPCIM,721,yes,444,0.2,2010-01
214,E_MPCSM,721,yes,444,0.9,2010-01
215,E_IM,721,yes,444,2.5,2010-01
216,MPCSM,721,no,4441,-18.3,2010-01
217,SM,721,no,4441,13738,2010-01
218,E_SM,721,no,4441,2.0,2010-01
219,E_MPCSM,721,no,4441,0.6,2010-01
220,SM,721,yes,4441,17842,2010-01
221,MPCSM,721,yes,4441,-2.0,2010-01
222,E_SM,721,yes,4441,2.0,2010-01
223,E_MPCSM,721,yes,4441,0.6,2010-01
224,MPCSM,721,no,44412,-3.5,2010-01
225,SM,721,no,44412,466,2010-01
226,E_SM,721,no,44412,6.0,2010-01
227,E_MPCSM,721,no,44412,1.9,2010-01
228,E_SM,721,yes,44412,6.0,2010-01
229,E_MPCSM,721,yes,44412,1.9,2010-01
230,SM,721,no,44413,1272,2010-01
231,MPCSM,721,no,44413,-21.0,2010-01
232,E_SM,721,no,44413,6.6,2010-01
233,E_MPCSM,721,no,44413,1.4,2010-01
234,E_SM,721,yes,44413,6.6,2010-01
235,E_MPCSM,721,yes,44413,1.4,2010-01
236,IR,721,no,445,0.80,2010-01
237,MPCSM,721,no,445,-9.7,2010-01
238,SM,721,no,445,47072,2010-01
239,MPCIM,721,no,445,-0.7,2010-01
240,IM,721,no,445,37731,2010-01
241,E_SM,721,no,445,1.0,2010-01
242,E_IR,721,no,445,0.01,2010-01
243,E_MPCIM,721,no,445,0.1,2010-01
244,E_MPCSM,721,no,445,0.2,2010-01
245,E_IM,721,no,445,0.9,2010-01
246,IR,721,yes,445,0.79,2010-01
247,MPCSM,721,yes,445,-0.5,2010-01
248,IM,721,yes,445,37747,2010-01
249,SM,721,yes,445,47877,2010-01
250,MPCIM,721,yes,445,1.3,2010-01
251,E_SM,721,yes,445,1.0,2010-01
252,E_IR,721,yes,445,0.01,2010-01
253,E_MPCIM,721,yes,445,0.1,2010-01
254,E_MPCSM,721,yes,445,0.2,2010-01
255,E_IM,721,yes,445,0.9,2010-01
256,MPCSM,721,no,4451,-5.3,2010-01
257,SM,721,no,4451,42985,2010-01
258,E_SM,721,no,4451,1.0,2010-01
259,E_MPCSM,721,no,4451,0.2,2010-01
260,SM,721,yes,4451,43028,2010-01
261,MPCSM,721,yes,4451,-0.4,2010-01
262,E_SM,721,yes,4451,1.0,2010-01
263,E_MPCSM,721,yes,4451,0.2,2010-01
264,MPCSM,721,no,44511,-5.5,2010-01
265,SM,721,no,44511,41185,2010-01
266,E_SM,721,no,44511,0.9,2010-01
267,E_MPCSM,721,no,44511,0.2,2010-01
268,E_SM,721,yes,44511,0.9,2010-01
269,E_MPCSM,721,yes,44511,0.2,2010-01
270,MPCSM,721,no,4453,-37.8,2010-01
271,SM,721,no,4453,2878,2010-01
272,E_SM,721,no,4453,2.1,2010-01
