month,year,amount,dt_unit,dt_code,dt_desc,cat_code,cat_desc,monthyear
Aug,2014,30763,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Aug
Sep,2014,31281,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Sep
Oct,2014,32870,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Oct
Nov,2014,36542,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Nov
Dec,2014,50628,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Dec
Jan,2015,31761,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Jan
Feb,2015,29988,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Feb
Mar,2015,34159,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Mar
Apr,2015,33618,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Apr
May,2015,33305,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-May
Jun,2015,33856,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Jun
Jul,2015,34624,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Jul
Aug,2015,34245,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Aug
Sep,2015,34829,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Sep
Oct,2015,35856,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Oct
Nov,2015,41774,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Nov
Dec,2015,55972,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,15-Dec
Jan,2016,34622,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Jan
Feb,2016,34872,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Feb
Mar,2016,38728,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Mar
Apr,2016,37143,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Apr
May,2016,38723,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-May
Jun,2016,38640,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Jun
Jul,2016,37441,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Jul
Aug,2016,40230,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,16-Aug
