,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020
Online,6092065833,5957374167,6455842500,6150662500,6351432500,6262608333,6582128333,6549715000,6792619167,6384835000,7497481667,7411372500,7522506667,6839413333,7813138333,7528561667,7802686667,7470895833,8044516667,7725317500,7614399167,8347035000,8811786667,8908084167,8935822500,8006089167,9382648333,8893030000,9377844167,8836840833,9331053333,9398861667,9384565833,9892660000,10710080000,10570543333,10253968333,9969376667,10520606667,10046027500,10601725833
Retail,29876886667,27563032500,30489673333,29905277500,31025580833,29947740833,30054994167,29260026667,31826828333,31266106667,33041603333,32648916667,30477326667,29743845833,32926949167,31939955000,32877690000,31622559167,32173138333,31494997500,32788665833,33640544167,34000054167,33818375833,31671360000,28884354167,33495270000,32397720833,34060420000,32012711667,32001313333,32324918333,33136443333,33888785833,34967756667,35460320833,32986353333,28743710000,31141918333,31412810000,34137926667
