,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020
Online,-0.057689521,0.055926378,0.007266954,-0.001521018,0.054141468,0.082628939,-0.013028536,-0.029948792,-0.027754295,0.055292324,-0.045109487,0.055315231
Retail,-0.060119879,-0.000356056,0.010112241,0.025105245,0.022704383,0.03183858,0.014086239,-0.069767206,-0.128618138,0.083434196,0.008698619,0.086751764
